latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-4.417,-46.249,305.7,1.2,1.1,2016-10-18,01:45,T,35,5.0       ,290.9,10.4
-4.705,-48.319,322.7,1,1,2016-10-18,01:45,T,100,5.0       ,295.2,25.1
-4.707,-48.328,311.1,1,1,2016-10-18,01:45,T,74,5.0       ,294.4,12
-4.546,-47.782,312.6,1,1,2016-10-18,01:45,T,79,5.0       ,295.4,14
-4.537,-47.783,410.5,1,1,2016-10-18,01:45,T,100,5.0       ,301.5,339.5
-4.538,-47.793,352.3,1,1,2016-10-18,01:45,T,100,5.0       ,295.4,79.9
-4.425,-48.607,305.2,1,1,2016-10-18,01:45,T,23,5.0       ,293.7,6.9
-4.439,-48.706,306.9,1,1,2016-10-18,01:45,T,50,5.0       ,294.8,8.1
-4.352,-48.679,306,1,1,2016-10-18,01:45,T,40,5.0       ,293.7,7.6
-4.668,-50.918,306.9,1.1,1.1,2016-10-18,01:45,T,50,5.0       ,293.8,10.4
-4.669,-50.929,305.4,1.1,1.1,2016-10-18,01:45,T,29,5.0       ,293.4,8.8
-4.161,-47.73,307.8,1,1,2016-10-18,01:45,T,56,5.0       ,293.4,10.2
-4.54,-50.591,307.2,1.1,1,2016-10-18,01:45,T,52,5.0       ,294,10.1
-4.404,-49.953,305.3,1,1,2016-10-18,01:45,T,28,5.0       ,293.5,8
-4.288,-49.202,312.5,1,1,2016-10-18,01:45,T,79,5.0       ,294.4,14.3
-4.177,-48.744,306.7,1,1,2016-10-18,01:45,T,48,5.0       ,294.1,8.1
-4.371,-50.766,307.9,1.1,1,2016-10-18,01:45,T,57,5.0       ,294.4,11
-4.019,-48.861,308.3,1,1,2016-10-18,01:45,T,60,5.0       ,294.2,10
-14.234,-51.332,356.3,1,1,2016-10-18,04:45,A,100,5.0       ,297.8,88.3
-14.236,-51.322,315.8,1,1,2016-10-18,04:45,A,72,5.0       ,295.2,18.3
-14.235,-51.389,308.7,1,1,2016-10-18,04:45,A,40,5.0       ,293.1,10.6
-14.243,-51.333,310,1,1,2016-10-18,04:45,A,61,5.0       ,294.6,12.3
-14.245,-51.324,306.3,1,1,2016-10-18,04:45,A,7,5.0       ,293.3,9.8
-14.164,-51.979,307.7,1.1,1,2016-10-18,04:45,A,56,5.0       ,292.6,11
-14.28,-51.335,305.5,1,1,2016-10-18,04:45,A,12,5.0       ,294.2,9.7
-14.646,-49.653,321.2,1,1,2016-10-18,04:45,A,100,5.0       ,293.6,24.9
-15.137,-50.395,307.5,1,1,2016-10-18,04:45,A,54,5.0       ,293.4,10.9
-15.138,-50.385,307.2,1,1,2016-10-18,04:45,A,50,5.0       ,293.9,11.4
-15.571,-48.955,305.6,1.1,1,2016-10-18,04:45,A,34,5.0       ,290.9,9.6
-15.799,-51.462,314.1,1,1,2016-10-18,04:45,A,84,5.0       ,294.6,16.1
1.981,-50.581,311.5,1.3,1.1,2016-10-18,04:40,A,75,5.0       ,293.7,19.7
-4.265,-50.599,308.1,1.1,1,2016-10-18,01:45,T,59,5.0       ,294.4,10.9
-4.306,-50.964,314.9,1.1,1.1,2016-10-18,01:45,T,87,5.0       ,294.6,19.5
-4.308,-50.974,308.7,1.1,1.1,2016-10-18,01:45,T,62,5.0       ,294.2,12.1
-3.815,-48.078,314.1,1,1,2016-10-18,01:45,T,84,5.0       ,292.8,16.3
-3.816,-48.087,348.3,1,1,2016-10-18,01:45,T,100,5.0       ,295.1,70.6
-4.069,-50.512,306.1,1.1,1,2016-10-18,01:45,T,41,5.0       ,294.2,8.6
-3.575,-47.315,342,1.1,1,2016-10-18,01:45,T,100,5.0       ,295.2,61.5
-3.576,-47.324,322.3,1.1,1,2016-10-18,01:45,T,100,5.0       ,295.3,26.1
-3.578,-47.334,332.2,1.1,1,2016-10-18,01:45,T,100,5.0       ,295.1,41.7
-3.568,-47.312,346.4,1.1,1,2016-10-18,01:45,T,100,5.0       ,294.5,72.6
-3.569,-47.321,366.1,1.1,1,2016-10-18,01:45,T,100,5.0       ,296.5,128.7
-3.571,-47.331,351.1,1.1,1,2016-10-18,01:45,T,100,5.0       ,296.2,83
-3.572,-47.341,336.5,1.1,1,2016-10-18,01:45,T,100,5.0       ,295.6,50.3
-3.574,-47.35,315.2,1.1,1,2016-10-18,01:45,T,87,5.0       ,294.1,17.7
-3.995,-50.307,327.6,1,1,2016-10-18,01:45,T,100,5.0       ,295.8,34.6
-3.563,-47.342,332.4,1.1,1,2016-10-18,01:45,T,100,5.0       ,294.4,43.8
-3.564,-47.352,308,1.1,1,2016-10-18,01:45,T,58,5.0       ,294,10.4
-3.943,-50.012,306.8,1,1,2016-10-18,01:45,T,49,5.0       ,294.3,8.9
-3.798,-50.095,309.5,1,1,2016-10-18,01:45,T,67,5.0       ,294.3,10.6
-3.787,-50.078,305.5,1,1,2016-10-18,01:45,T,32,5.0       ,294.2,6.6
-3.788,-50.087,322.1,1,1,2016-10-18,01:45,T,100,5.0       ,294.6,24.7
-3.76,-50.144,312,1,1,2016-10-18,01:45,T,77,5.0       ,294.5,13.2
-3.7,-50.178,306.2,1,1,2016-10-18,01:45,T,42,5.0       ,293.9,7.2
-3.682,-50.246,306.2,1,1,2016-10-18,01:45,T,42,5.0       ,294.2,7.4
-3.939,-52.068,310.2,1.3,1.1,2016-10-18,01:45,T,70,5.0       ,294.3,16.8
-3.772,-51.086,310,1.1,1.1,2016-10-18,01:45,T,69,5.0       ,293.7,13.5
-3.754,-51.685,327.1,1.2,1.1,2016-10-18,01:45,T,100,5.0       ,293.5,41
-3.632,-50.95,305.4,1.1,1,2016-10-18,01:45,T,30,5.0       ,293.6,8.6
-3.528,-50.262,343.3,1,1,2016-10-18,01:45,T,100,5.0       ,295,60.1
-3.53,-50.271,364.5,1,1,2016-10-18,01:45,T,100,5.0       ,296.7,114.9
-3.162,-47.753,311.8,1.1,1,2016-10-18,01:45,T,76,5.0       ,277.4,18.2
-3.525,-50.434,305.5,1.1,1,2016-10-18,01:45,T,32,5.0       ,293.4,7
-3.64,-51.46,309.7,1.2,1.1,2016-10-18,01:45,T,68,5.0       ,293.5,14.1
-3.46,-50.828,305.7,1.1,1,2016-10-18,01:45,T,35,5.0       ,292.8,7.6
-3.461,-50.837,306.1,1.1,1,2016-10-18,01:45,T,41,5.0       ,293.1,8.1
-3.452,-50.839,305.5,1.1,1,2016-10-18,01:45,T,19,5.0       ,292.9,7.1
-3.432,-50.832,311.5,1.1,1,2016-10-18,01:45,T,75,5.0       ,293.1,13.1
-16.995,-50.085,306.4,1.4,1.2,2016-10-18,01:45,T,41,5.0       ,292.7,12.7
-16.339,-45.615,308.2,1,1,2016-10-18,01:45,T,47,5.0       ,291.5,10.3
-16.33,-45.617,309,1,1,2016-10-18,01:45,T,46,5.0       ,291.9,10.6
-16.778,-49.846,314.6,1.3,1.2,2016-10-18,01:45,T,86,5.0       ,293.4,26.8
-16.772,-49.852,313.9,1.3,1.2,2016-10-18,01:45,T,62,5.0       ,292.5,27.2
-16.2,-52.381,305.3,2,1.4,2016-10-18,01:45,T,28,5.0       ,291.1,21.3
